transactionId;partner;totalValue
94574296;Criteo;94.86
94573366;Criteo;529.4
94564496;Triggit;139.9
94547496;Criteo;44.81
94538496;Vizury;239.9
94527296;Triggit;99.9
94526496;Criteo;159.9
94525496;Criteo;149.9
94523496;Criteo;87.83
94518496;Criteo;199.9
94474496;Criteo;38.81
94469296;Criteo;405.7
94452296;Criteo;109.9
94444496;Criteo;299.8
94427296;Mainadv;103.7
94426496;Criteo;335.6
94416296;Criteo;99.9
94397296;Criteo;144.9
94396496;Criteo;85.71
94394496;Criteo;209.9
94379496;Criteo;229.7
94377496;Criteo;109.9
94377296;Criteo;239.9
94375496;Triggit;99.9
94355496;Triggit;109.0
94354496;Criteo;327.0
94353366;Criteo;182.0
94345296;Triggit;219.99
94344496;Mainadv;99.9
94334296;Triggit;479.22
94333496;Criteo;186.8
94327496;Triggit;199.9
94325296;Triggit;119.9
94324296;Criteo;159.9
94319496;Criteo;149.9
94316496;Triggit;64.81
94316296;Criteo;111.8
94313496;Criteo;74.81
94313366;Criteo;119.9
94292496;Criteo;309.8
94291496;Triggit;94.05
94287296;Criteo;144.9
94279296;Triggit;189.8
94272296;Criteo;107.73
94268296;Mainadv;204.8
94266496;Criteo;119.8
94258296;Criteo;18.81
94249296;Criteo;109.9
94246296;Triggit;139.8
94238296;Criteo;149.9
94231496;Criteo;199.9
94224296;Criteo;532.73
94219296;Criteo;58.73
94218296;Criteo;219.9
94213496;Triggit;84.81
94197496;Triggit;99.9
94192496;Triggit;99.9
94184296;Triggit;247.83
94154496;Triggit;179.9
94131496;Criteo;169.8
94129496;Criteo;127.6
94129296;Criteo;199.9
94125296;Criteo;189.9
94114496;Criteo;129.9
94112296;Criteo;300.4
93972496;Criteo;215.8
93961496;Triggit;636.9
93948296;Criteo;118.8
93946496;Triggit;481.5
93942296;Criteo;116.89
93934496;Criteo;149.9
93933496;Triggit;120.0
93925496;Triggit;129.9
93912496;Criteo;395.8
93898296;Criteo;139.9
93897296;Criteo;94.83
93889496;Criteo;129.9
93869296;Criteo;259.81
93856496;Triggit;359.8
93828296;Triggit;109.9
93819496;Triggit;549.0
93814496;Criteo;309.8
93787496;Triggit;119.9
93784496;Mainadv;174.8
93772496;Criteo;55.81
93762496;Criteo;223.6
93746496;Criteo;129.9
93738296;Criteo;35.86
93729296;Criteo;34.81
93728496;Criteo;103.8
93728296;Criteo;119.73
93724296;Criteo;179.9
93712296;Criteo;199.9
93697296;Criteo;111.78
93696496;Criteo;639.1
93688296;Criteo;124.73
93671496;Criteo;88.85
93667496;Criteo;169.9
93655496;Triggit;149.4
93651496;Criteo;95.71
93648296;Criteo;189.9
93646496;Criteo;399.9
93641496;Criteo;46.81
93639496;Criteo;131.7
93632496;Criteo;279.8
93631496;Vizury;99.9
93626296;Criteo;179.9
93624296;Triggit;179.9
93615496;Triggit;139.9
93614296;Criteo;42.81
93613366;Mainadv;164.89
93599496;Criteo;399.9
93596496;Criteo;109.9
93589496;Criteo;209.9
93589296;Criteo;44.9
93588296;Sociomantic;99.9
93582496;Criteo;199.9
93577496;Criteo;158.9
93573366;Criteo;139.9
93568496;Criteo;315.63
93568296;Criteo;342.89
93564296;Criteo;341.37
93553496;Criteo;310.8
93549296;Triggit;149.9
93546496;Criteo;119.9
93543496;Criteo;139.9
93539296;Criteo;264.9
93537496;Criteo;164.85
93537296;Criteo;40.03
93528296;Criteo;630.53
93526496;Criteo;176.8
93518296;Criteo;289.8
93512496;Criteo;54.81
93497296;Criteo;169.8
93474296;Criteo;149.9
93454496;Triggit;319.9
93453366;Triggit;119.9
93448496;Criteo;199.9
93447496;Criteo;413.7
93446496;Criteo;189.9
93444496;Criteo;199.9
93439296;Criteo;149.9
93429496;Criteo;99.9
93418296;Criteo;74.81
93416296;Criteo;3141.8
93389496;Mainadv;175.6
93386496;Criteo;531.7
93385296;Triggit;354.85
93379496;Criteo;126.96
93357296;Triggit;99.9
93353496;Criteo;99.9
93346496;Criteo;159.9
93344296;Criteo;109.9
93342496;Criteo;100.7
93338496;Triggit;59.73
93334296;Criteo;139.8
93328496;Criteo;129.9
93328296;Criteo;239.9
93325496;Criteo;109.9
93325296;Criteo;159.9
93319296;Criteo;159.9
93317496;Criteo;149.9
93312496;Criteo;99.9
93297496;Triggit;109.9
93293496;Criteo;249.9
93288296;Criteo;259.99
93265496;Criteo;299.8
93262496;Criteo;128.73
93257296;Criteo;134.8
93256296;Criteo;86.73
93252296;Criteo;159.9
93246496;Criteo;499.9
93242296;Criteo;1049.7
93239296;Criteo;94.81
93237496;Criteo;99.86
93232496;Criteo;155.7
93214496;Criteo;199.8
93196296;Triggit;189.9
93194296;Criteo;117.9
93187296;Criteo;849.6
93182296;Criteo;159.9
93178496;Criteo;409.9
93155496;Criteo;289.8
93143496;Criteo;119.8
93123496;Mainadv;100.0
93122296;Criteo;82.91
92996496;Triggit;72.81
92995496;Criteo;164.95
92991496;Triggit;179.0
92986496;Criteo;209.9
92981496;Criteo;319.9
92969296;Criteo;76.81
92968296;Criteo;149.9
92966496;Criteo;129.9
92963496;Sociomantic;129.9
92962296;Sociomantic;399.9
92958296;Sociomantic;219.9
92947496;Triggit;149.9
92926496;Criteo;102.9
92924296;Criteo;44.81
92919496;Criteo;179.9
92899296;Triggit;249.9
92898496;Criteo;199.9
92897296;Criteo;107.73
92889496;Criteo;265.6
92888496;Criteo;269.9
92887496;Criteo;247.73
92879496;Vizury;309.9
92878296;Criteo;89.73
92864496;Criteo;84.81
92858496;Criteo;49.81
92857496;Criteo;304.8
92847496;Criteo;159.9
92844496;Criteo;528.13
92844296;Criteo;219.9
92833496;Triggit;105.73
92832296;Criteo;36.81
92827496;Triggit;387.83
92827296;Triggit;239.9
92821496;Triggit;88.86
92817496;Criteo;169.9
92798296;Criteo;99.9
92796296;Criteo;269.8
92792496;Criteo;133.8
92789496;Criteo;91.05
92778296;Criteo;159.8
92775296;Criteo;58.81
92764496;Criteo;36.81
92755496;Criteo;99.9
92754296;Triggit;139.9
92725496;Criteo;129.9
92691496;Criteo;439.7
92686496;Triggit;197.63
92682296;Criteo;133.8
92677296;Criteo;179.8
92667496;Criteo;143.8
92663496;Criteo;142.73
92661496;Criteo;285.0
92656296;Criteo;56.81
92653366;Criteo;135.8
92625296;Triggit;199.9
92599496;Criteo;86.27
92596296;Criteo;109.9
92582296;Criteo;100.73
92575496;Criteo;390.87
92572496;Triggit;214.8
92568296;Criteo;249.8
92566296;Triggit;128.0
92565496;Criteo;199.9
92558296;Triggit;199.9
92557496;Criteo;99.9
92544496;Criteo;54.81
92543496;Criteo;699.8
92519296;Criteo;249.9
92517296;Criteo;84.81
92516296;Criteo;119.9
92514296;Criteo;767.0
92494496;Triggit;219.8
92479296;Criteo;87.27
92476496;Triggit;299.8
92472296;Criteo;159.9
92468496;Triggit;216.8
92463496;Criteo;129.9
92459296;Criteo;109.9
92452496;Criteo;107.63
92441496;Criteo;259.9
92435496;Criteo;124.89
92434296;Criteo;99.9
92429296;Criteo;98.73
92428496;Criteo;84.81
92398296;Criteo;159.9
92397496;Criteo;279.8
92387496;Triggit;149.9
92386296;Criteo;193.8
92382496;Criteo;238.0
92374496;Criteo;179.9
92367296;Criteo;85.81
92363496;Criteo;224.9
92356296;Triggit;239.9
92355496;Criteo;56.22
92353366;Criteo;74.81
92345296;Criteo;130.8
92338496;Triggit;99.9
92328296;Criteo;199.9
